ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12617368,JF142911,2/13/2022 3:15,009XX W SCHUBERT AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1935,19,43.0,7,08B,1169653.0,1918130.0,2022,9/16/2023 15:41,41.9308547,-87.65197396,"(41.930854704, -87.65197396)"
12622840,JF150396,2/20/2022 10:45,010XX W ROSCOE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1924,19,44.0,6,08B,1168569.0,1922746.0,2022,9/16/2023 15:41,41.94354479,-87.65582335,"(41.943544791, -87.655823353)"
12750558,JF304624,7/4/2022 4:00,053XX N LYNCH AVE,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,1623,16,45.0,11,17,1138498.0,1934890.0,2022,9/16/2023 15:41,41.97746807,-87.7660555,"(41.977468065, -87.766055498)"
12767058,JF324850,7/3/2022 12:00,019XX N LOWELL AVE,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,False,True,2534,25,26.0,20,2,1147084.0,1912456.0,2022,9/16/2023 15:41,41.91574692,-87.73505625,"(41.915746919, -87.735056247)"
12784904,JF345855,7/31/2022 7:00,021XX N SPRINGFIELD AVE,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,False,True,2525,25,35.0,22,2,1150028.0,1914097.0,2022,9/16/2023 15:41,41.92019311,-87.7241973,"(41.920193109, -87.724197302)"
12812832,JF378884,6/23/2022 17:35,026XX N MOODY AVE,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,True,2512,25,36.0,19,2,1134954.0,1916928.0,2022,9/16/2023 15:41,41.92824216,-87.77951553,"(41.928242161, -87.779515528)"
13202820,JG414840,10/2/2022 21:00,054XX S INDIANA AVE,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,False,231,2,3.0,40,2,1178100.0,1868327.0,2022,9/16/2023 15:41,41.79400377,-87.62244876,"(41.794003774, -87.622448757)"
12931878,JF521379,12/24/2022 8:00,021XX S MARSHALL BLVD,498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE - PORCH / HALLWAY,True,True,1023,10,25.0,30,04B,1157031.0,1889686.0,2022,9/22/2023 15:41,41.85306765,-87.69912978,"(41.853067647, -87.69912978)"
13211560,JG425458,2/26/2022 0:00,065XX N FRANCISCO AVE,1120,DECEPTIVE PRACTICE,FORGERY,APARTMENT,False,False,2412,24,50.0,2,10,,,2022,9/16/2023 15:42,,,
13211512,JG425328,9/13/2022 14:00,005XX W WRIGHTWOOD AVE,560,ASSAULT,SIMPLE,SIDEWALK,False,False,1935,19,43.0,7,08A,,,2022,9/16/2023 15:42,,,
12826755,JF395464,8/5/2022 0:00,036XX W 58TH PL,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,822,8,23.0,62,17,1153103.0,1865576.0,2022,9/17/2023 15:41,41.78698528,-87.71418459,"(41.786985284, -87.714184585)"
13212633,JG426702,11/26/2022 0:00,052XX S KEDZIE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,822,8,14.0,63,08A,1155933.0,1869765.0,2022,11/15/2023 15:41,41.7984241,-87.70369567,"(41.798424102, -87.703695673)"
13130275,JG328904,10/31/2022 22:21,012XX N WOLCOTT AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,1424,14,1.0,24,11,,,2022,7/6/2023 15:48,,,
12880678,JF460127,11/3/2022 1:35,098XX S HARVARD AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,511,5,9.0,49,7,1175688.0,1839848.0,2022,9/18/2023 15:41,41.71590838,-87.63214451,"(41.715908383, -87.632144511)"
13213753,JG427020,1/1/2022 6:00,014XX N SEDGWICK ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,1821,18,27.0,8,11,,,2022,9/18/2023 15:42,,,
13213547,JG427888,9/15/2022 17:00,048XX S ARCHER AVE,497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,False,True,821,8,14.0,57,04B,,,2022,9/18/2023 15:42,,,
13184937,JG393538,8/1/2022 12:00,020XX W HOMER ST,1120,DECEPTIVE PRACTICE,FORGERY,APARTMENT,False,True,1434,14,32.0,22,10,,,2022,8/23/2023 15:41,,,
12612117,JF137175,2/7/2022 21:06,031XX N CALIFORNIA AVE,610,BURGLARY,FORCIBLE ENTRY,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1411,14,35.0,21,5,1157169.0,1920611.0,2022,9/19/2023 15:41,41.93792582,-87.69778247,"(41.937925817, -87.697782474)"
12643132,JF174882,3/12/2022 9:59,053XX S PRINCETON AVE,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,935,9,20.0,37,17,1175194.0,1869503.0,2022,9/19/2023 15:41,41.79729629,-87.63306971,"(41.797296285, -87.633069706)"
12628131,JF156927,2/26/2022 16:00,070XX S PULASKI RD,325,ROBBERY,VEHICULAR HIJACKING,STREET,True,False,833,8,23.0,65,3,1150908.0,1857764.0,2022,10/3/2023 15:41,41.76559101,-87.72243622,"(41.765591005, -87.722436221)"
12628255,JF157037,2/26/2022 17:45,002XX W 24TH PL,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,914,9,11.0,34,3,1174906.0,1888061.0,2022,10/3/2023 15:41,41.84822751,-87.63357157,"(41.848227511, -87.633571568)"
12831794,JF401646,9/19/2022 5:15,008XX N WALLER AVE,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,True,True,1511,15,29.0,25,2,1138207.0,1905023.0,2022,10/3/2023 15:41,41.89551517,-87.76785015,"(41.895515173, -87.767850151)"
12845685,JF418108,10/1/2022 15:08,083XX S KOLIN AVE,033A,ROBBERY,ATTEMPT ARMED - HANDGUN,STREET,True,False,834,8,18.0,70,3,1148866.0,1848902.0,2022,10/3/2023 15:41,41.74131169,-87.73014865,"(41.741311689, -87.73014865)"
12908437,JF493322,11/29/2022 7:30,063XX S BLACKSTONE AVE,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,OTHER RAILROAD PROPERTY / TRAIN DEPOT,False,False,314,3,5.0,42,2,1187273.0,1863436.0,2022,10/3/2023 15:41,41.78036941,-87.58896758,"(41.780369412, -87.588967581)"
